thumb_cmc_spread,thumb_cmc_stretch,thumb_mcp_stretch,thumb_ip_stretch,index_mcp_spread,index_mcp_stretch,index_pip_stretch,index_dip_stretch,middle_mcp_spread,middle_mcp_stretch,middle_pip_stretch,middle_dip_stretch,ring_mcp_spread,ring_mcp_stretch,ring_pip_stretch,ring_dip_stretch,pinky_mcp_spread,pinky_mcp_stretch,pinky_pip_stretch,pinky_dip_stretch
5.14,-0.11,36.95,19.67,-5.26,-11.46,4.66,3.5,-19.6,-8.37,0.96,0.72,-14.58,58.82,89.13,66.85,-18.45,55.65,88.01,66.01
5.12,-0.22,36.91,19.66,-5.3,-11.49,4.66,3.5,-19.63,-8.43,0.96,0.72,-14.61,58.66,89.07,66.8,-18.47,55.63,87.99,65.99
5.13,-0.32,37,19.58,-5.34,-11.56,4.66,3.5,-19.66,-8.47,0.96,0.72,-14.59,58.96,89.16,66.87,-18.49,55.63,87.94,65.95
5.12,-0.38,36.95,19.64,-5.37,-11.65,4.65,3.49,-19.71,-8.57,0.96,0.72,-14.61,58.98,89.13,66.85,-18.51,55.64,87.9,65.93
5.13,-0.32,37.06,19.75,-5.37,-11.72,4.65,3.49,-19.73,-8.62,0.96,0.72,-14.62,58.94,89.07,66.8,-18.52,55.68,87.87,65.9
5.11,-0.33,37,19.77,-5.35,-11.82,4.63,3.47,-19.73,-8.67,0.96,0.72,-14.61,58.99,89.06,66.8,-18.51,55.65,87.93,65.95
5.09,-0.17,37.16,19.79,-5.36,-11.91,4.63,3.47,-19.76,-8.79,0.95,0.71,-14.64,58.77,88.88,66.66,-18.52,55.66,87.99,65.99
5.05,-0.22,36.95,19.78,-5.31,-11.97,4.62,3.46,-19.75,-8.92,0.95,0.71,-14.61,58.83,88.91,66.68,-18.51,55.62,88,66
4.99,-0.15,36.96,19.84,-5.23,-12.12,4.62,3.46,-19.73,-9.1,0.94,0.7,-14.58,58.97,88.9,66.67,-18.51,55.6,87.95,65.96
4.9,0.02,36.95,19.87,-5.03,-12.31,4.61,3.46,-19.67,-9.35,0.94,0.7,-14.53,58.92,88.44,66.33,-18.5,55.53,87.98,65.99
4.82,0.15,36.96,19.95,-4.75,-12.41,4.61,3.46,-19.55,-9.47,0.94,0.7,-14.46,58.9,88.38,66.28,-18.49,55.48,87.95,65.96
4.78,0.12,36.86,19.92,-4.71,-12.45,4.6,3.45,-19.51,-9.52,0.94,0.7,-14.44,58.9,88.32,66.24,-18.5,55.48,87.99,66
4.75,0.09,36.86,19.92,-4.73,-12.49,4.6,3.45,-19.52,-9.59,0.94,0.7,-14.44,58.87,88.32,66.24,-18.51,55.49,88,66
4.74,0.11,36.86,19.95,-4.72,-12.52,4.61,3.46,-19.52,-9.61,0.94,0.7,-14.44,58.84,88.32,66.24,-18.52,55.51,87.99,66
4.71,0.13,36.86,19.89,-4.72,-12.53,4.61,3.46,-19.53,-9.66,0.94,0.7,-14.43,58.99,88.32,66.24,-18.52,55.52,88.03,66.02
4.69,0.17,36.87,19.88,-4.73,-12.56,4.6,3.45,-19.54,-9.66,0.94,0.7,-14.43,59.04,88.32,66.24,-18.52,55.54,87.96,65.97
4.68,0.18,36.91,19.89,-4.73,-12.59,4.6,3.45,-19.57,-9.71,0.93,0.7,-14.46,58.78,88.32,66.24,-18.53,55.53,87.96,65.97
4.67,0.13,36.86,19.89,-4.75,-12.58,4.6,3.45,-19.56,-9.71,0.93,0.7,-14.46,58.74,88.32,66.24,-18.52,55.52,87.99,65.99
4.64,0.24,37.05,19.84,-4.79,-12.57,4.61,3.46,-19.59,-9.73,0.94,0.7,-14.47,58.78,88.32,66.24,-18.54,55.54,87.99,65.99
4.67,0.07,36.86,19.77,-4.8,-12.58,4.6,3.45,-19.61,-9.73,0.93,0.7,-14.48,58.9,88.35,66.26,-18.53,55.56,87.95,65.96
4.67,0.11,36.86,19.79,-4.73,-12.6,4.6,3.45,-19.56,-9.74,0.93,0.7,-14.44,59,88.38,66.28,-18.52,55.54,88.03,66.03
4.59,0.14,36.95,19.75,-4.76,-12.61,4.6,3.45,-19.56,-9.81,0.93,0.7,-14.43,59.07,88.38,66.28,-18.5,55.5,87.97,65.97
4.58,0.02,36.91,19.87,-4.97,-12.55,4.6,3.45,-19.68,-9.82,0.93,0.7,-14.49,59.1,88.32,66.24,-18.5,55.51,88,66
4.56,-0.1,36.86,19.91,-5.29,-12.48,4.6,3.45,-19.82,-9.82,0.93,0.7,-14.56,59.15,88.32,66.24,-18.51,55.56,88,66
4.54,-0.23,36.85,19.89,-5.7,-12.4,4.6,3.45,-20.07,-9.81,0.93,0.7,-14.69,59.08,88.32,66.24,-18.53,55.57,88,66
